"","radius_mean","texture_mean","perimeter_mean","area_mean","smoothness_mean","compactness_mean","concavity_mean","concave.points_mean","symmetry_mean","fractal_dimension_mean","radius_se","texture_se","perimeter_se","area_se","smoothness_se","compactness_se","concavity_se","concave.points_se","symmetry_se","fractal_dimension_se","radius_worst","texture_worst","perimeter_worst","area_worst","smoothness_worst","compactness_worst","concavity_worst","concave.points_worst","symmetry_worst","fractal_dimension_worst"
"radius_mean",1,0.323781890927733,0.997855281493811,0.987357170056612,0.170581187492995,0.506123577526363,0.676763550390811,0.82252852238718,0.147741241992602,-0.31163082630929,0.679090388002075,-0.0973174431448134,0.674171615764105,0.735863663212818,-0.222600124582111,0.205999980407699,0.194203622761509,0.376168955939926,-0.104320881417866,-0.0426412691144562,0.969538972611206,0.297007643986374,0.965136513955988,0.941082459586047,0.119616139921608,0.413462823060802,0.526911461838545,0.744214197867467,0.163953334936307,0.00706588569218255
"texture_mean",0.323781890927733,1,0.32953305868657,0.321085696080207,-0.0233885159984236,0.236702222074372,0.302417827943891,0.293464051313943,0.071400980483317,-0.0764371834481339,0.275868676173762,0.38635762272449,0.281673114787203,0.259844986610098,0.00661377735358534,0.191974611323967,0.143293076560498,0.163851025285218,0.00912716775503604,0.0544575195689336,0.352572947150296,0.912044588840422,0.358039575053224,0.34354594718647,0.0775033588221289,0.277829592478979,0.301025223816491,0.295315843337737,0.105007910315972,0.119205351397085
"perimeter_mean",0.997855281493811,0.32953305868657,1,0.98650680399139,0.207278163691006,0.556936210879562,0.716135650117404,0.85097704125282,0.183027212116853,-0.261476908066334,0.691765013533482,-0.0867610783117949,0.693134889540866,0.744982694119068,-0.202694026298322,0.250743680740588,0.228082345393658,0.407216915998619,-0.0816293270283995,-0.00552339105700397,0.969476363466314,0.30303837155715,0.970386887042639,0.941549808002307,0.150549404317037,0.455774228038327,0.563879263473662,0.771240789360549,0.189115040462457,0.0510185297234066
"area_mean",0.987357170056612,0.321085696080207,0.98650680399139,1,0.177028377254001,0.498501682152412,0.685982828551911,0.823268868652433,0.151293079035112,-0.283109811691426,0.732562226997297,-0.0662802136045774,0.726628327790684,0.80008592123432,-0.166776666601113,0.212582550779233,0.207660060482569,0.37232028233071,-0.0724965882117627,-0.019886963235068,0.962746086047083,0.287488627121397,0.959119574355265,0.9592133256499,0.123522938755571,0.390410309242499,0.512605920443325,0.722016626260358,0.143569913889071,0.00373759735157159
"smoothness_mean",0.170581187492995,-0.0233885159984236,0.207278163691006,0.177028377254001,1,0.659123215215923,0.52198376771426,0.55369517274376,0.557774788072887,0.584792001949978,0.30146709825317,0.0684064481711825,0.296091932893514,0.246552431665735,0.332375442647592,0.318943296705379,0.248395679882555,0.380675690983286,0.200774375920483,0.283606698546885,0.213120141895949,0.0360717987856464,0.23885262620915,0.206718363428577,0.805324195494363,0.472468443730443,0.434925714725087,0.50305335329895,0.394309481811755,0.499316368593766
"compactness_mean",0.506123577526363,0.236702222074372,0.556936210879562,0.498501682152412,0.659123215215923,1,0.883120670177251,0.831135043133699,0.602641048405516,0.565368663414522,0.497473446085062,0.0462048307164068,0.548905264588823,0.455652851987889,0.135299267700472,0.738721789660392,0.570516871489889,0.642261850971647,0.229976590801432,0.507318126900422,0.535315398217666,0.248132833277418,0.590210427731298,0.50960380555792,0.565541166375088,0.865809039802263,0.816275249800029,0.815573223569065,0.510223429921806,0.687382322753897
"concavity_mean",0.676763550390811,0.302417827943891,0.716135650117404,0.685982828551911,0.52198376771426,0.883120670177251,1,0.921391026378859,0.500666617141962,0.336783359421185,0.631924822141491,0.07621834813534,0.660390787241962,0.617426805845241,0.0985637457991174,0.67027882464302,0.691270207544851,0.683259916512327,0.178009207920878,0.449300749050338,0.688236407643673,0.299878888709691,0.729564916513202,0.675987231306088,0.44882203840476,0.754968015906397,0.884102639094382,0.861323033637951,0.409464126539986,0.514929890636387
"concave.points_mean",0.82252852238718,0.293464051313943,0.85097704125282,0.823268868652433,0.55369517274376,0.831135043133699,0.921391026378859,1,0.462497388367358,0.166917383226992,0.698049833560741,0.0214795819234017,0.710649871613899,0.690298539759553,0.0276533083871362,0.490424249593571,0.439167068474262,0.615634130896919,0.0953507868866769,0.257583746243033,0.830317631118615,0.292751713001518,0.855923128134311,0.809629619909618,0.452753054179048,0.667453676825712,0.752399497574965,0.910155314298593,0.375744145423611,0.368661133716771
"symmetry_mean",0.147741241992602,0.071400980483317,0.183027212116853,0.151293079035112,0.557774788072887,0.602641048405516,0.500666617141962,0.462497388367358,1,0.479921330050969,0.303379263207263,0.128052926340256,0.313892760796513,0.22397021941763,0.187321165261391,0.421659147005011,0.34262702307772,0.393297872089017,0.449136542393429,0.331786146273124,0.185727753495688,0.0906506881166428,0.219168559111058,0.177193377374097,0.426675026384947,0.473200013244618,0.433721007590173,0.430296611457954,0.699825797643731,0.438413498444603
"fractal_dimension_mean",-0.31163082630929,-0.0764371834481339,-0.261476908066334,-0.283109811691426,0.584792001949978,0.565368663414522,0.336783359421185,0.166917383226992,0.479921330050969,1,0.000110995072629471,0.164173965871729,0.0398299315720471,-0.0901702475204273,0.401964425448413,0.559836690621134,0.446630321699571,0.341198044397118,0.345007397143728,0.688131577458552,-0.25369149487661,-0.0512692020367651,-0.205151211262774,-0.231854451167561,0.504942075351762,0.45879815666786,0.346233876348068,0.175325449243245,0.334018683851083,0.767296779238436
"radius_se",0.679090388002075,0.275868676173762,0.691765013533482,0.732562226997297,0.30146709825317,0.497473446085062,0.631924822141491,0.698049833560741,0.303379263207263,0.000110995072629471,1,0.213247337251158,0.972793677016075,0.95183011211099,0.164514219812812,0.356064575532203,0.33235753760761,0.513346441436765,0.240567362450071,0.227753532671981,0.715065195135185,0.194798556834251,0.719683803665005,0.75154847612662,0.141918552918607,0.28710316560074,0.380584634628722,0.531062327821605,0.0945428303543819,0.0495594324645731
